S,X,T,r,div,v,n,Amercall
86.50050477,100,0.657565389,0.04487097,0.041497908,0.122894054,15000,0.306941265
103.1936136,100,4.96087308,0.062799516,0.021826232,0.193682486,15000,25.85957099
114.0913055,100,3.78038799,0,0.023154325,0.30275463,15000,27.72062131
73.04253008,100,0.380229206,0.01361533,0.035696687,0.555307398,15000,2.680125791
81.99682047,100,0.662368133,0.037765112,0.068051915,0.259695937,15000,1.465791626
101.418373,100,0.915670046,0.024819049,0.030502812,0.534280999,15000,20.39554142
83.48645868,100,0.501417983,0.066366698,0.024025986,0.117636064,15000,0.079689247
108.985949,100,0.290460387,0.08211244,0.050023858,0.219023787,15000,11.20219848
78.46657791,100,0.956197558,0.013839737,0.022948044,0.324526109,15000,3.363599553
127.1975545,100,0.980791929,0,0.013503182,0.449893301,15000,35.41200247
123.4068364,100,1.625719952,0.092722399,0.070534562,0.391440895,15000,34.50368621
71.50240451,100,4.44320929,0,0.085379633,0.336010073,15000,5.167394502
129.7587135,100,4.287571897,0.068648154,0.088812192,0.261713628,15000,33.56455603
123.4419717,100,4.173358962,0.015408907,0.012642518,0.549066892,15000,58.05499561
103.7770149,100,0.160408707,0.046176338,0.089377804,0.202938603,15000,5.140332669
109.8455545,100,0.986526896,0.069344499,0.052607566,0.213299124,15000,14.93820589
79.92383221,100,0.508061749,0.026642905,0.083363773,0.389224669,15000,2.408530404
88.0184804,100,4.453107767,0.001848552,0.090576041,0.128100818,15000,0.65181614
101.5505455,100,0.548714303,0.055004393,0.061927291,0.417000443,15000,12.67108005
112.4021794,100,0.835837544,0.021637036,0.057824337,0.426448116,15000,21.35691981
82.90689112,100,0.507442633,0,0.027967293,0.423343186,15000,4.111326506
119.3177573,100,0.336087156,0.065345657,0.010192409,0.497375976,15000,25.67587547
97.89402315,100,0.978705616,0.070790146,0.003655928,0.156081921,15000,8.232389673
127.7977737,100,2.079526088,0.031975793,0.093318119,0.50165118,15000,39.19079828
113.5074407,100,0.274477163,0.050899421,0.051400107,0.291039035,15000,15.19883107
105.7205435,100,4.138446552,0.073115818,0.003205828,0.548426294,15000,54.50637551
87.68073408,100,4.084752331,0.039147741,0.034496151,0.444633113,15000,24.47538826
95.1895196,100,0.268889148,0.034223615,0.000191802,0.36399073,15000,5.517526228
70.21298745,100,0.107497637,0.007159761,0.097341106,0.156645245,15000,0
99.99478578,100,0.151902234,0.030733594,0.074061823,0.3694991,15000,5.424679685
110.6772219,100,0.143677846,0.01615444,0.037716931,0.303271643,15000,11.70829738
98.80930709,100,3.162745465,0.0488355,0.090049787,0.414879476,15000,20.62200912
88.63969587,100,0.629214822,0.078954696,0.083326695,0.567346958,15000,11.14142204
113.3179825,100,0.183468746,0.094783773,0.010036046,0.132502164,15000,14.84634709
